sensor,valor,unidade,status,timestamp,ciclo,tipo,nome,estado,codigo,severidade
TQ-MIX-TT,23.0,C,OK,2026-06-27 22:11:46,1,,,,,
TQ-MIX-LT,49.8,%,OK,2026-06-27 22:11:46,1,,,,,
TQ-MIX-PT,1.996,BAR,OK,2026-06-27 22:11:46,1,,,,,
RES-Q-TT,71.124,C,OK,2026-06-27 22:11:46,1,,,,,
RES-F-TT,18.8394,C,OK,2026-06-27 22:11:46,1,,,,,
,0.0,,,2026-06-27 22:11:46,1,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-27 22:11:46,1,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-27 22:11:54,2,,,,,
TQ-MIX-LT,49.6,%,OK,2026-06-27 22:11:54,2,,,,,
TQ-MIX-PT,1.992,BAR,OK,2026-06-27 22:11:54,2,,,,,
RES-Q-TT,72.3231,C,OK,2026-06-27 22:11:54,2,,,,,
RES-F-TT,17.935200000000002,C,OK,2026-06-27 22:11:54,2,,,,,
,0.0,,,2026-06-27 22:11:54,2,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-27 22:11:54,2,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-27 22:16:13,3,,,,,
TQ-MIX-LT,49.4,%,OK,2026-06-27 22:16:13,3,,,,,
TQ-MIX-PT,1.988,BAR,OK,2026-06-27 22:16:13,3,,,,,
RES-Q-TT,73.2754,C,OK,2026-06-27 22:16:13,3,,,,,
RES-F-TT,17.4023,C,OK,2026-06-27 22:16:13,3,,,,,
,0.0,,,2026-06-27 22:16:13,3,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-27 22:16:13,3,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-27 22:17:12,4,,,,,
TQ-MIX-LT,49.2,%,OK,2026-06-27 22:17:12,4,,,,,
TQ-MIX-PT,1.984,BAR,OK,2026-06-27 22:17:12,4,,,,,
RES-Q-TT,73.6176,C,OK,2026-06-27 22:17:12,4,,,,,
RES-F-TT,16.6792,C,OK,2026-06-27 22:17:12,4,,,,,
,0.0,,,2026-06-27 22:17:12,4,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-27 22:17:12,4,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-27 22:17:33,5,,,,,
TQ-MIX-LT,49.0,%,OK,2026-06-27 22:17:33,5,,,,,
TQ-MIX-PT,1.98,BAR,OK,2026-06-27 22:17:33,5,,,,,
RES-Q-TT,73.8848,C,OK,2026-06-27 22:17:33,5,,,,,
RES-F-TT,16.3973,C,OK,2026-06-27 22:17:33,5,,,,,
,0.0,,,2026-06-27 22:17:33,5,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-27 22:17:33,5,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-27 22:49:21,6,,,,,
TQ-MIX-LT,48.8,%,OK,2026-06-27 22:49:21,6,,,,,
TQ-MIX-PT,1.976,BAR,OK,2026-06-27 22:49:21,6,,,,,
RES-Q-TT,74.0999,C,OK,2026-06-27 22:49:21,6,,,,,
RES-F-TT,16.4783,C,OK,2026-06-27 22:49:21,6,,,,,
,0.0,,,2026-06-27 22:49:21,6,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-27 22:49:21,6,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-27 23:00:22,7,,,,,
TQ-MIX-LT,48.6,%,OK,2026-06-27 23:00:22,7,,,,,
TQ-MIX-PT,1.972,BAR,OK,2026-06-27 23:00:22,7,,,,,
RES-Q-TT,74.0275,C,OK,2026-06-27 23:00:22,7,,,,,
RES-F-TT,16.5727,C,OK,2026-06-27 23:00:22,7,,,,,
,0.0,,,2026-06-27 23:00:22,7,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-27 23:00:22,7,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-27 23:00:36,8,,,,,
TQ-MIX-LT,48.4,%,OK,2026-06-27 23:00:36,8,,,,,
TQ-MIX-PT,1.968,BAR,OK,2026-06-27 23:00:36,8,,,,,
RES-Q-TT,73.865,C,OK,2026-06-27 23:00:36,8,,,,,
RES-F-TT,16.4777,C,OK,2026-06-27 23:00:36,8,,,,,
,0.0,,,2026-06-27 23:00:36,8,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-27 23:00:36,8,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-27 23:01:11,9,,,,,
TQ-MIX-LT,48.2,%,OK,2026-06-27 23:01:11,9,,,,,
TQ-MIX-PT,1.964,BAR,OK,2026-06-27 23:01:11,9,,,,,
RES-Q-TT,74.0269,C,OK,2026-06-27 23:01:11,9,,,,,
RES-F-TT,16.676,C,OK,2026-06-27 23:01:11,9,,,,,
,0.0,,,2026-06-27 23:01:11,9,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-27 23:01:11,9,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-27 23:01:25,10,,,,,
TQ-MIX-LT,48.0,%,OK,2026-06-27 23:01:25,10,,,,,
TQ-MIX-PT,1.96,BAR,OK,2026-06-27 23:01:25,10,,,,,
RES-Q-TT,73.7499,C,OK,2026-06-27 23:01:25,10,,,,,
RES-F-TT,16.5197,C,OK,2026-06-27 23:01:25,10,,,,,
,0.0,,,2026-06-27 23:01:25,10,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-27 23:01:25,10,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-27 23:01:59,11,,,,,
TQ-MIX-LT,47.8,%,OK,2026-06-27 23:01:59,11,,,,,
TQ-MIX-PT,1.956,BAR,OK,2026-06-27 23:01:59,11,,,,,
RES-Q-TT,74.0095,C,OK,2026-06-27 23:01:59,11,,,,,
RES-F-TT,16.8157,C,OK,2026-06-27 23:01:59,11,,,,,
,0.0,,,2026-06-27 23:01:59,11,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-27 23:01:59,11,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:01:07,1,,,,,
TQ-MIX-LT,49.8,%,OK,2026-06-28 01:01:07,1,,,,,
TQ-MIX-PT,1.996,BAR,OK,2026-06-28 01:01:07,1,,,,,
RES-Q-TT,71.0825,C,OK,2026-06-28 01:01:07,1,,,,,
RES-F-TT,18.9486,C,OK,2026-06-28 01:01:07,1,,,,,
,0.0,,,2026-06-28 01:01:07,1,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:01:07,1,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:01:37,2,,,,,
TQ-MIX-LT,49.6,%,OK,2026-06-28 01:01:37,2,,,,,
TQ-MIX-PT,1.992,BAR,OK,2026-06-28 01:01:37,2,,,,,
RES-Q-TT,71.9928,C,OK,2026-06-28 01:01:37,2,,,,,
RES-F-TT,18.1255,C,OK,2026-06-28 01:01:37,2,,,,,
,0.0,,,2026-06-28 01:01:37,2,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:01:37,2,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:01:42,3,,,,,
TQ-MIX-LT,49.4,%,OK,2026-06-28 01:01:42,3,,,,,
TQ-MIX-PT,1.988,BAR,OK,2026-06-28 01:01:42,3,,,,,
RES-Q-TT,72.9027,C,OK,2026-06-28 01:01:42,3,,,,,
RES-F-TT,16.8323,C,OK,2026-06-28 01:01:42,3,,,,,
,0.0,,,2026-06-28 01:01:42,3,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:01:42,3,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:01:47,4,,,,,
TQ-MIX-LT,49.2,%,OK,2026-06-28 01:01:47,4,,,,,
TQ-MIX-PT,1.984,BAR,OK,2026-06-28 01:01:47,4,,,,,
RES-Q-TT,73.7508,C,OK,2026-06-28 01:01:47,4,,,,,
RES-F-TT,15.9679,C,OK,2026-06-28 01:01:47,4,,,,,
,0.0,,,2026-06-28 01:01:47,4,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:01:47,4,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:01:52,5,,,,,
TQ-MIX-LT,49.0,%,OK,2026-06-28 01:01:52,5,,,,,
TQ-MIX-PT,1.98,BAR,OK,2026-06-28 01:01:52,5,,,,,
RES-Q-TT,74.5145,C,OK,2026-06-28 01:01:52,5,,,,,
RES-F-TT,15.2544,C,OK,2026-06-28 01:01:52,5,,,,,
,0.0,,,2026-06-28 01:01:52,5,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:01:52,5,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:01:57,6,,,,,
TQ-MIX-LT,48.8,%,OK,2026-06-28 01:01:57,6,,,,,
TQ-MIX-PT,1.976,BAR,OK,2026-06-28 01:01:57,6,,,,,
RES-Q-TT,74.9821,C,OK,2026-06-28 01:01:57,6,,,,,
RES-F-TT,14.7626,C,OK,2026-06-28 01:01:57,6,,,,,
,0.0,,,2026-06-28 01:01:57,6,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:01:57,6,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:02,7,,,,,
TQ-MIX-LT,48.6,%,OK,2026-06-28 01:02:02,7,,,,,
TQ-MIX-PT,1.972,BAR,OK,2026-06-28 01:02:02,7,,,,,
RES-Q-TT,75.2782,C,OK,2026-06-28 01:02:02,7,,,,,
RES-F-TT,14.5667,C,OK,2026-06-28 01:02:02,7,,,,,
,0.0,,,2026-06-28 01:02:02,7,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:02,7,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:07,8,,,,,
TQ-MIX-LT,48.4,%,OK,2026-06-28 01:02:07,8,,,,,
TQ-MIX-PT,1.968,BAR,OK,2026-06-28 01:02:07,8,,,,,
RES-Q-TT,75.2994,C,OK,2026-06-28 01:02:07,8,,,,,
RES-F-TT,14.7683,C,OK,2026-06-28 01:02:07,8,,,,,
,0.0,,,2026-06-28 01:02:07,8,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:07,8,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:12,9,,,,,
TQ-MIX-LT,48.2,%,OK,2026-06-28 01:02:12,9,,,,,
TQ-MIX-PT,1.964,BAR,OK,2026-06-28 01:02:12,9,,,,,
RES-Q-TT,74.9475,C,OK,2026-06-28 01:02:12,9,,,,,
RES-F-TT,14.8077,C,OK,2026-06-28 01:02:12,9,,,,,
,0.0,,,2026-06-28 01:02:12,9,atuador,BOMBA-Q,PRINCIPAL,,
,0.0,,,2026-06-28 01:02:12,9,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,23.0,C,OK,2026-06-28 01:02:17,10,,,,,
TQ-MIX-LT,48.0,%,OK,2026-06-28 01:02:17,10,,,,,
